t = 0.0000
           x           u
     -0.0050     -0.0201
      0.0050      0.0199
      0.0150      0.0591
      0.0250      0.0975
      0.0350      0.1351
      0.0450      0.1719
      0.0550      0.2079
      0.0650      0.2431
      0.0750      0.2775
      0.0850      0.3111
      0.0950      0.3439
      0.1050      0.3759
      0.1150      0.4071
      0.1250      0.4375
      0.1350      0.4671
      0.1450      0.4959
      0.1550      0.5239
      0.1650      0.5511
      0.1750      0.5775
      0.1850      0.6031
      0.1950      0.6279
      0.2050      0.6519
      0.2150      0.6751
      0.2250      0.6975
      0.2350      0.7191
      0.2450      0.7399
      0.2550      0.7599
      0.2650      0.7791
      0.2750      0.7975
      0.2850      0.8151
      0.2950      0.8319
      0.3050      0.8479
      0.3150      0.8631
      0.3250      0.8775
      0.3350      0.8911
      0.3450      0.9039
      0.3550      0.9159
      0.3650      0.9271
      0.3750      0.9375
      0.3850      0.9471
      0.3950      0.9559
      0.4050      0.9639
      0.4150      0.9711
      0.4250      0.9775
      0.4350      0.9831
      0.4450      0.9879
      0.4550      0.9919
      0.4650      0.9951
      0.4750      0.9975
      0.4850      0.9991
      0.4950      0.9999
      0.5050      0.9999
      0.5150      0.9991
      0.5250      0.9975
      0.5350      0.9951
      0.5450      0.9919
      0.5550      0.9879
      0.5650      0.9831
      0.5750      0.9775
      0.5850      0.9711
      0.5950      0.9639
      0.6050      0.9559
      0.6150      0.9471
      0.6250      0.9375
      0.6350      0.9271
      0.6450      0.9159
      0.6550      0.9039
      0.6650      0.8911
      0.6750      0.8775
      0.6850      0.8631
      0.6950      0.8479
      0.7050      0.8319
      0.7150      0.8151
      0.7250      0.7975
      0.7350      0.7791
      0.7450      0.7599
      0.7550      0.7399
      0.7650      0.7191
      0.7750      0.6975
      0.7850      0.6751
      0.7950      0.6519
      0.8050      0.6279
      0.8150      0.6031
      0.8250      0.5775
      0.8350      0.5511
      0.8450      0.5239
      0.8550      0.4959
      0.8650      0.4671
      0.8750      0.4375
      0.8850      0.4071
      0.8950      0.3759
      0.9050      0.3439
      0.9150      0.3111
      0.9250      0.2775
      0.9350      0.2431
      0.9450      0.2079
      0.9550      0.1719
      0.9650      0.1351
      0.9750      0.0975
      0.9850      0.0591
      0.9950      0.0199
      1.0050      0.0010
      1.0150      0.0010
      1.0250      0.0010
      1.0350      0.0010
      1.0450      0.0010
      1.0550      0.0010
      1.0650      0.0010
      1.0750      0.0010
      1.0850      0.0010
      1.0950      0.0010
      1.1050      0.0010
      1.1150      0.0010
      1.1250      0.0010
      1.1350      0.0010
      1.1450      0.0010
      1.1550      0.0010
      1.1650      0.0010
      1.1750      0.0010
      1.1850      0.0010
      1.1950      0.0010
      1.2050      0.0010
      1.2150      0.0010
      1.2250      0.0010
      1.2350      0.0010
      1.2450      0.0010
      1.2550      0.0010
      1.2650      0.0010
      1.2750      0.0010
      1.2850      0.0010
      1.2950      0.0010
      1.3050      0.0010
      1.3150      0.0010
      1.3250      0.0010
      1.3350      0.0010
      1.3450      0.0010
      1.3550      0.0010
      1.3650      0.0010
      1.3750      0.0010
      1.3850      0.0010
      1.3950      0.0010
      1.4050      0.0010
      1.4150      0.0010
      1.4250      0.0010
      1.4350      0.0010
      1.4450      0.0010
      1.4550      0.0010
      1.4650      0.0010
      1.4750      0.0010
      1.4850      0.0010
      1.4950      0.0010
      1.5050      0.0010
      1.5150      0.0010
      1.5250      0.0010
      1.5350      0.0010
      1.5450      0.0010
      1.5550      0.0010
      1.5650      0.0010
      1.5750      0.0010
      1.5850      0.0010
      1.5950      0.0010
      1.6050      0.0010
      1.6150      0.0010
      1.6250      0.0010
      1.6350      0.0010
      1.6450      0.0010
      1.6550      0.0010
      1.6650      0.0010
      1.6750      0.0010
      1.6850      0.0010
      1.6950      0.0010
      1.7050      0.0010
      1.7150      0.0010
      1.7250      0.0010
      1.7350      0.0010
      1.7450      0.0010
      1.7550      0.0010
      1.7650      0.0010
      1.7750      0.0010
      1.7850      0.0010
      1.7950      0.0010
      1.8050      0.0010
      1.8150      0.0010
      1.8250      0.0010
      1.8350      0.0010
      1.8450      0.0010
      1.8550      0.0010
      1.8650      0.0010
      1.8750      0.0010
      1.8850      0.0010
      1.8950      0.0010
      1.9050      0.0010
      1.9150      0.0010
      1.9250      0.0010
      1.9350      0.0010
      1.9450      0.0010
      1.9550      0.0010
      1.9650      0.0010
      1.9750      0.0010
      1.9850      0.0010
      1.9950      0.0010
